Date,From,To,Subject,Body,Classification,Category
2022-01-05,john.doe@enron.com,jane.smith@home.com,Meeting Agenda,"Hello Jane, Please find attached the agenda for our upcoming meeting. Let me know if you have any questions. Regards, John",compliant,compliant
2022-01-10,sarah.jones@enron.com,david.wilson@home.com,Investment Opportunity,"Dear David, I wanted to discuss an exciting investment opportunity with you. Please let me know when you are available to chat. Best, Sarah",non-compliant,Market Manipulation/Misconduct
2022-01-15,alex.wong@enron.com,amy.nguyen@home.com,Quarterly Report,"Hi Amy, Attached is the quarterly report for your review. Let me know if you need any clarification. Thanks, Alex",compliant,compliant
2022-01-20,michael.chen@enron.com,lisa.brown@home.com,Confidential Information,"Lisa, I need to discuss some confidential information with you. Can we meet in person tomorrow? Regards, Michael",non-compliant,Secrecy
2022-01-25,laura.smith@enron.com,steve.johnson@home.com,Complaint Resolution,"Dear Steve, I wanted to follow up on the complaint you raised last week. Please let me know if you are satisfied with the resolution provided. Regards, Laura",non-compliant,Complaints
2022-02-01,daniel.ng@enron.com,emily.wong@home.com,New Policy Announcement,"Hi Emily, I wanted to inform you about the new policy changes that will be implemented next month. Please review the attached document. Regards, Daniel",compliant,compliant
2022-02-05,amanda.wu@enron.com,kevin.lam@home.com,Market Analysis Update,"Kevin, Attached is the latest market analysis update for your reference. Let me know if you have any questions. Thanks, Amanda",compliant,compliant
2022-02-10,justin.yu@enron.com,natalie.kim@home.com,Training Session Reminder,"Natalie, Just a reminder about the training session scheduled for next week. Please confirm your attendance. Best, Justin",compliant,compliant
2022-02-15,grace.li@enron.com,ryan.ng@home.com,Employee Code of Conduct,"Ryan, I wanted to remind you to review the updated employee code of conduct. Let me know if you have any concerns. Regards, Grace",non-compliant,Employee Ethics
2022-02-20,erica.chan@enron.com,matt.wu@home.com,Market Research Request,"Matt, I need your input on a market research project. Please let me know if you can assist. Thanks, Erica",compliant,compliant
2022-02-25,stephen.lee@enron.com,jessica.wang@home.com,Compliance Training Schedule,"Jessica, Attached is the schedule for upcoming compliance training sessions. Please make sure to attend. Regards, Stephen",non-compliant,Change in Communication
2022-03-01,kevin.cheng@enron.com,olivia.ng@home.com,Confidential Meeting Request,"Olivia, Can we schedule a confidential meeting to discuss an important matter? Let me know your availability. Regards, Kevin",non-compliant,Secrecy
2022-03-05,mary.garcia@enron.com,luke.roberts@home.com,Market Performance Review,"Luke, I wanted to update you on the recent market performance review. Please see the attached report for details. Regards, Mary",compliant,compliant
2022-03-10,anna.kwok@enron.com,adam.smith@home.com,Complaint Escalation,"Adam, Your complaint has been escalated for further investigation. Expect an update soon. Regards, Anna",non-compliant,Complaints
2022-03-15,greg.anderson@enron.com,olivia.white@home.com,Business Proposal Discussion,"Olivia, I would like to discuss a potential business proposal with you. Let's schedule a meeting to chat. Regards, Greg",non-compliant,Market Manipulation/Misconduct
2022-03-20,claire.ng@enron.com,jason.lau@home.com,Training Feedback Request,"Jason, I would appreciate your feedback on the recent training session. Please share your thoughts. Regards, Claire",compliant,compliant
2022-03-25,ian.wong@enron.com,emily.chan@home.com,Compliance Policy Update,"Emily, I wanted to inform you about the latest updates to our compliance policies. Please review the attached document. Regards, Ian",compliant,compliant
2022-04-01,jennifer.tan@enron.com,william.jones@home.com,Suspicious Activity Report,"William, I need to discuss a potential suspicious activity report that has been flagged. Let's connect to address this issue. Regards, Jennifer",non-compliant,Market Manipulation/Misconduct
2022-04-05,rachel.lin@enron.com,michael.davis@home.com,Internal Audit Request,"Michael, An internal audit has been scheduled for next week. Please ensure all documents are in order. Regards, Rachel",compliant,compliant
2022-04-10,steven.ng@enron.com,sophia.smith@home.com,Confidential Information Sharing,"Sophia, I need to share some confidential information with you regarding a client. Let's discuss in person. Regards, Steven",non-compliant,Secrecy
